Symbol,Entry
solgusdperp,292
solgusdperp,265
solgusdperp,243
solgusdperp,218
solgusdperp,192
solgusdperp,170
ltcgusdperp,145
ltcgusdperp,135
ltcgusdperp,112
ltcgusdperp,100
ltcgusdperp,90
ltcgusdperp,80
linkgusdperp,30.25
linkgusdperp,26.25
linkgusdperp,19.70
linkgusdperp,17.5
linkgusdperp,15
xrpgusdperp,3.5
xrpgusdperp,3.16
xrpgusdperp,2.82
xrpgusdperp,2.33
xrpgusdperp,2.55
xrpgusdperp,2.00
xrpgusdperp,1.80
unigusdperp,15.31
unigusdperp,12.25
unigusdperp,10.9
unigusdperp,10.05
unigusdperp,9.35
unigusdperp,7
trumpgusdperp,19.8
trumpgusdperp,21.3
trumpgusdperp,24
trumpgusdperp,15
ethgusdperp,2800
ethgusdperp,2700
avaxgusdperp,25.75
avaxgusdperp,27.15
avaxgusdperp,24.75
